zpid,street,zipcode,taxAssessmentYear,taxAssessment,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,totalRooms,lastSoldDate,lastSoldPrice,zest,zestlow,zesthigh,percentile,zindexValue,numFloors,roof,exteriorMaterial,parkingType,heatingSources,heatingSystem,coolingSystem,floorCovering,architecture,basement,coveredParkingSpaces,adjLastSoldPrice,adjTaxAssessment,medianUSpriceAssessmentYear,medianUSpriceLastSoldDate,medianUSpriceThisYear
73607667,958 Charles St,40204,2013,107e3,1925,4791,1134,1,2,5,2017-09-29,155e3,158022,150121,165923,57,122600,NA,NA,NA,NA,Gas,NA,Central,NA,Bungalow,Unfinished,NA,NA,121171.220448827,265091,NA,300200
73590592,932 Ellison Ave,40204,2013,100390,1910,4647,1225,1,2,NA,2017-09-05,199900,195194,185434,204954,65,122600,NA,Composition,NA,Garage - Detached,Gas,Forced air,NA,NA,NA,NA,NA,NA,113685.78337250228,265091,NA,300200
73590906,937 Shelby Pkwy,40204,2013,96520,1928,4791,1373,2,3,8,2017-03-16,229900,195768,185980,215345,65,122600,2,"Asphalt, Shake / Shingle","Metal, Stone, Vinyl","Garage - Detached, On-street","Electric, Gas","Forced air, Wall","Central, Wall","Carpet, Hardwood, Tile",Bungalow,Unfinished,1,214535.2191482748,109303.23549271759,265091,321700,300200
73600354,729 E Breckinridge St,40203,2013,32570,1900,3197,1532,2,2,6,2017-06-30,165e3,158949,149412,166896,89,87400,2,Composition,Brick,Off-street,Electric,"Forced air, Heat pump",Central,"Carpet, Hardwood",Other,None,NA,156601.32785330384,36883.61355157286,265091,316300,300200
73600558,817 E Saint Catherine St,40204,2013,81270,1900,2204,1752,2,3,NA,2017-03-02,11e4,109159,101518,114617,35,85500,2,Shake / Shingle,Other,NA,NA,Other,Central,NA,Other,NA,NA,102648.43021448555,92033.50547547823,265091,321700,300200
73600583,721 E Kentucky St,40203,2013,65450,1900,2997,2040,2,2,NA,2017-02-17,17e4,176636,167804,194300,92,87400,2,"Asphalt, Shake / Shingle",Brick,On-street,Gas,Forced air,Central,"Carpet, Hardwood",Other,NA,NA,171255.033557047,74118.28391005353,265091,298e3,300200
73600776,1041 E Caldwell St,40204,2013,61630,1900,10890,1285,2,2,6,2017-06-30,191500,185499,176224,194774,63,122600,NA,Shake / Shingle,Vinyl,Carport,Gas,Other,NA,Other,Other,NA,NA,181752.4502055011,69792.35809589915,265091,316300,300200
73601711,914 E Saint Catherine St,40204,2013,57560,1900,2613,1233,2,2,NA,2017-06-08,152e3,153648,145966,170549,56,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144263.04141637686,65183.321953593295,265091,316300,300200
73601732,947 Charles St,40204,2011,85170,1900,3920,1400,3,2,NA,2016-11-09,197500,NA,NA,NA,0,122600,1,Composition,Other,Garage - Detached,NA,Other,None,NA,Other,None,NA,188220.6349206349,113982.21259294923,224316,315e3,300200
73600586,1026 E Caldwell St,40204,2013,60410,1900,3659,920,1,2,NA,2017-06-12,193e3,187555,178177,198808,63,122600,1,Asphalt,"Vinyl, Wood",Off-street,Gas,"Forced air, Other",None,NA,Other,NA,NA,183176.09864053116,68410.77969452,265091,316300,300200
73601720,949 Mary St,40204,2013,47900,1910,3411,1061,2,2,NA,2017-09-05,133e3,141637,133139,158633,53,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54243.93887382069,265091,NA,300200
73601941,1005 E Oak St,40204,2013,76050,1895,3484,1428,2,3,5,2017-09-08,208500,210309,199794,229237,67,122600,2,Composition,Vinyl,On-street,Gas,Forced air,Central,"Hardwood, Tile",NA,Unfinished,NA,NA,86122.16182367565,265091,NA,300200
