FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
235,OR2,OFFICE/RES,OFFICE,2399.89632038,357349.28413,3.416721132e-06,0.007403555453042
236,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,541.755376006,16160.4156781,1.54515604e-07,0.001750959145853
237,OR2,OFFICE/RES,OFFICE,489.566345642,11695.6723531,1.11826507e-07,0.001607639830325
238,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,678.795274762,28746.2367094,2.7485513e-07,0.00210374613817
239,OR1,OFFICE/RES,OFFICE,560.05800125,17347.1021531,1.65868882e-07,0.001811839416864
240,R7,RES MULTI-FAMILY,RESIDENTIAL,1282.88606613,84996.73865,8.12711882e-07,0.003861021685101
241,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,903.131167776,45364.5415336,4.33748133e-07,0.002829359467125
242,R7,RES MULTI-FAMILY,RESIDENTIAL,2354.95567564,291200.79603,2.784215259e-06,0.007460631486306
243,R7,RES MULTI-FAMILY,RESIDENTIAL,1659.39441692,143201.031419,1.369166532e-06,0.005031748101347
244,R5,RES SINGLE FAMILY,RESIDENTIAL,3493.58394857,336904.11503,3.221310979e-06,0.010655539139548
245,R7,RES MULTI-FAMILY,RESIDENTIAL,2769.55953017,441794.01112,4.225185416e-06,0.008522598327371
246,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1351.69977204,99571.3055969,9.52284189e-07,0.004306286796236
247,RE,RES ESTATE,RESIDENTIAL,2044.5751387,193236.43498,1.848046653e-06,0.006477423779025
248,RE,RES ESTATE,RESIDENTIAL,3105.97498306,539078.280503,5.155446776e-06,0.009697098692773
249,R5,RES SINGLE FAMILY,RESIDENTIAL,7717.95119486,2875586.87608,2.7499164637e-05,0.023407699529541
250,R2,RES SINGLE FAMILY,RESIDENTIAL,2490.97997405,368369.74408,3.522786285e-06,0.007911674291415
251,M1,INDUSTRIAL,INDUSTRIAL,2499.61249654,346122.338156,3.309960865e-06,0.007876936661497
252,OR3,OFFICE/RES,OFFICE,3974.45829471,493120.74531,4.715525497e-06,0.011807010607683
253,R3,RES SINGLE FAMILY,RESIDENTIAL,3535.5324727,668779.09713,6.395196918e-06,0.010552262680386
254,OR2,OFFICE/RES,OFFICE,1194.17192021,82577.8850406,7.89663101e-07,0.003779369812448
255,OR1,OFFICE/RES,OFFICE,906.25563147,49945.2996109,4.77606653e-07,0.002810866429522
256,OR1,OFFICE/RES,OFFICE,1097.59493971,61975.4112727,5.9286418e-07,0.003435548135091
257,R1,RES SINGLE FAMILY,RESIDENTIAL,4165.94740385,632353.564006,6.049048771e-06,0.013196603344922
258,R1,RES SINGLE FAMILY,RESIDENTIAL,947.460683999,41846.3529359,4.00290339e-07,0.003094730307878
259,OR3,OFFICE/RES,OFFICE,2618.39666639,142725.168475,1.365235528e-06,0.008628622827081
