FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
2809,R5,RES SINGLE FAMILY,RESIDENTIAL,4531.64582397,975805.546931,9.314239052e-06,0.014159969076514
2810,R5,RES SINGLE FAMILY,RESIDENTIAL,3742.01535818,534166.047753,5.098866951e-06,0.011613431423848
2811,R7,RES MULTI-FAMILY,RESIDENTIAL,1529.56026708,130844.74395,1.248946355e-06,0.004896814773823
2812,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3072.59469592,391116.22461,3.733226631e-06,0.009174521878685
2813,(R4),RES SINGLE FAMILY OVERLAY,RESIDENTIAL,15085.8452256,1479162.9174,1.4117425545e-05,0.044147857840096
2814,OR1,OFFICE/RES,OFFICE,913.723427371,49898.3302039,4.76623897e-07,0.002943863816008
2815,OR1,OFFICE/RES,OFFICE,767.795565428,36881.1191281,3.52272653e-07,0.002387184240717
2816,OR2,OFFICE/RES,OFFICE,759.164207261,36019.9082844,3.44044322e-07,0.002364972893834
2817,R7,RES MULTI-FAMILY,RESIDENTIAL,1956.62601179,180287.419636,1.721908378e-06,0.006006316000306
2818,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,633.489584454,24847.7440297,2.37311279e-07,0.001978665218505
2819,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1168.92683451,81581.20945,7.79107296e-07,0.00356107310828
2820,R5,RES SINGLE FAMILY,RESIDENTIAL,2455.11768369,174977.882989,1.671081794e-06,0.008307461041213
2821,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,828.222272616,40102.6770094,3.82984748e-07,0.002647591319369
2822,OR1,OFFICE/RES,OFFICE,528.000584298,16443.9015328,1.57041045e-07,0.00159726931668
2823,R7,RES MULTI-FAMILY,RESIDENTIAL,4437.10723843,738182.08841,7.049740333e-06,0.013679519353312
2824,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,967.623385706,54305.3307125,5.18612021e-07,0.003066104396369
2825,R5,RES SINGLE FAMILY,RESIDENTIAL,8294.30631403,2030676.69034,1.9393342286e-05,0.026211351115139
2826,R5,RES SINGLE FAMILY,RESIDENTIAL,2219.2578184,170518.02706,1.628466712e-06,0.00637013699858
2827,(R4),RES SINGLE FAMILY OVERLAY,RESIDENTIAL,6489.16938427,607778.79657,5.804168843e-06,0.018364100944057
2828,M3,INDUSTRIAL,INDUSTRIAL,1297.42776773,97819.5942969,9.34156694e-07,0.004077093691281
2829,R5,RES SINGLE FAMILY,RESIDENTIAL,4715.87993528,1164482.81366,1.1120436056e-05,0.014774990410809
2830,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,857.084429765,44834.87037,4.28151853e-07,0.002650595351998
2831,M3,INDUSTRIAL,INDUSTRIAL,9676.34417429,3793806.87939,3.6226754187e-05,0.029711041979374
2832,OR2,OFFICE/RES,OFFICE,2331.31752999,286472.25761,2.735639646e-06,0.006936085471245
2833,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1216.80609118,86843.7215977,8.29224826e-07,0.003675665993216
2834,R1,RES SINGLE FAMILY,RESIDENTIAL,4768.79771158,808486.54329,7.71960422e-06,0.0143412764117
2835,R5,RES SINGLE FAMILY,RESIDENTIAL,5878.03531,1566318.68449,1.4955496602e-05,0.018851942796321
2836,R5,RES SINGLE FAMILY,RESIDENTIAL,3755.38665597,727960.161572,6.950416859e-06,0.011546056788937
2837,OR1,OFFICE/RES,OFFICE,1322.01426657,102588.532138,9.79508668e-07,0.004209187601681
2838,R1,RES SINGLE FAMILY,RESIDENTIAL,1816.89074591,161407.901828,1.541060437e-06,0.005387349049069
2839,OR1,OFFICE/RES,OFFICE,1463.28621765,69584.0671688,6.64362166e-07,0.004184952135924
2840,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2759.31395677,280369.456859,2.681065476e-06,0.008225843651037
2841,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,610.641587581,17028.5162578,1.6270648e-07,0.001998354027519
2842,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4378.98686187,665615.75434,6.362223039e-06,0.013753714475738
2843,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2264.03016866,187377.66224,1.792314947e-06,0.006954525800416
2844,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2510.27654951,335965.517813,3.208329829e-06,0.007670629658361
2845,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1036.56744096,55478.4528562,5.30129537e-07,0.003246977168481
2846,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1617.32535256,140303.04587,1.341994105e-06,0.004976173513921
2847,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,620.929715201,14820.4094117,1.41669455e-07,0.001907278764397
2848,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,416.647983383,4528.31108125,4.3293089e-08,0.001412712917314
2849,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,846.844474681,41879.0456781,4.00204221e-07,0.002696186900774
2850,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,830.173544073,32463.4828078,3.10204191e-07,0.002580842617914
2851,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2005.41574248,225686.21968,2.156434738e-06,0.006056493188713
2852,R5A,RES MULTI FAMILY,RESIDENTIAL,2603.56935149,252426.66965,2.410409627e-06,0.008384194763405
2853,R5A,RES MULTI FAMILY,RESIDENTIAL,2726.64578081,422020.673291,4.029126753e-06,0.008418290165898
2854,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,715.46832929,30438.2129656,2.9048682e-07,0.002203664841203
2855,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1936.4875176,179092.45664,1.709142268e-06,0.00606453720861
2856,R5A,RES MULTI FAMILY,RESIDENTIAL,583.371269515,18886.4587875,1.80536426e-07,0.001852287915056
2857,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,5736.52839579,886627.72568,8.460978153e-06,0.017670952080015
2858,R5A,RES MULTI FAMILY,RESIDENTIAL,4091.97160068,451313.403483,4.314319963e-06,0.012921553570767
2859,R5,RES SINGLE FAMILY,RESIDENTIAL,10855.4083567,5210511.13994,4.9780756271e-05,0.034321351360195
2860,R7,RES MULTI-FAMILY,RESIDENTIAL,975.317086791,52030.9208437,4.96726249e-07,0.003127797580927
2861,R7,RES MULTI-FAMILY,RESIDENTIAL,2532.9913274,292891.38348,2.796046542e-06,0.008019045600245
2862,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2406.2427206,169943.5354,1.622343793e-06,0.007781934642374
2863,R7,RES MULTI-FAMILY,RESIDENTIAL,4311.59078397,665204.88817,6.350184004e-06,0.013773606806129
2864,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2063.91310178,144260.87237,1.379435846e-06,0.006215941055035
2865,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,862.050066158,39668.7889508,3.79190631e-07,0.002788951071852
2866,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,773.596941325,21617.4409906,2.06546982e-07,0.002468916909266
2867,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2493.97227722,404012.344475,3.860555844e-06,0.007817303028216
2868,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,733.42370495,31901.6137078,3.04842205e-07,0.002379626599636
2869,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,686.346912914,26335.7404938,2.51657575e-07,0.002149650807863
2870,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,753.973904082,34216.6794484,3.2671529e-07,0.00229331001425
2871,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,9357.11463754,2102373.41888,2.0070146849e-05,0.029053255323689
2872,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,8491.29025095,1779110.13096,1.6998651931e-05,0.026989696506514
2873,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,677.08785917,26687.1122242,2.54926448e-07,0.002131064916889
2874,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2770.10946026,285540.268929,2.728899595e-06,0.008698009063507
2875,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3394.76608522,505944.547528,4.838759796e-06,0.010848588003875
2876,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,929.322828941,45802.5034219,4.3739383e-07,0.003015735231908
2877,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,718.336781547,27257.0157813,2.6075586e-07,0.002201662645404
2878,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,844.974387994,41115.4042273,3.92697119e-07,0.002542971431572
2879,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1380.86925476,94783.35892,9.0475948e-07,0.004377816366539
2880,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3620.81615539,582187.303975,5.557048182e-06,0.011250229308159
2881,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1645.94152516,103222.691403,9.85225084e-07,0.005207020932153
2882,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,6327.68791698,1017898.88154,9.715160609e-06,0.019935792065918
2883,R6,RES MULTI-FAMILY,RESIDENTIAL,6999.06415618,1363988.19992,1.3034386796e-05,0.02203568798697
2884,OR2,OFFICE/RES,OFFICE,763.280389526,35671.1366609,3.40537477e-07,0.002411139696551
2885,OR3,OFFICE/RES,OFFICE,1539.00334132,120435.95389,1.150960715e-06,0.004794570770943
2886,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1633.40806761,115729.24131,1.104583153e-06,0.005163528982984
2887,R5A,RES MULTI FAMILY,RESIDENTIAL,5860.06183638,1074261.1055,1.0268652396e-05,0.018743856048318
2888,R5A,RES MULTI FAMILY,RESIDENTIAL,2663.58625872,234495.937191,2.238750284e-06,0.00888654079336
2889,R5,RES SINGLE FAMILY,RESIDENTIAL,296.497117932,4780.51645781,4.5644459e-08,0.000911801537413
2890,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,688.023476556,27325.1845984,2.60895955e-07,0.002167859972781
2891,OR1,OFFICE/RES,OFFICE,729.105294487,31161.5009219,2.97522859e-07,0.002312551252219
2892,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,767.727103735,27716.43215,2.6462575e-07,0.002253045539853
2893,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3837.37528985,406157.5496,3.877762414e-06,0.012092099466558
2894,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4170.3152664,789611.16316,7.538730749e-06,0.013606075833396
2895,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,946.494693855,52797.9923812,5.04076149e-07,0.002965669133628
2896,OR1,OFFICE/RES,OFFICE,892.694292998,49804.7616109,4.75498684e-07,0.002777677664006
2897,R7,RES MULTI-FAMILY,RESIDENTIAL,4138.18287644,404705.127095,3.863810811e-06,0.013705641030916
2898,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,1485.11918355,108450.34841,1.035377493e-06,0.004836310357874
2899,R1,RES SINGLE FAMILY,RESIDENTIAL,3102.23739214,515813.600439,4.924425101e-06,0.009228440826539
2900,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1220.71343558,91364.9538625,8.72250349e-07,0.00376484167216
2901,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1245.40270954,54899.7451031,5.24113604e-07,0.004028392491807
2902,M1,INDUSTRIAL,INDUSTRIAL,2300.17195545,206854.946262,1.974731388e-06,0.006974131148527
2903,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4852.84001539,562838.518503,5.375391831e-06,0.015766478195502
2904,OR1,OFFICE/RES,OFFICE,825.642128981,30552.1327062,2.91794041e-07,0.002500768183188
2905,OR3,OFFICE/RES,OFFICE,1421.54190774,90109.8622031,8.60574713e-07,0.004269764597529
2906,R5,RES SINGLE FAMILY,RESIDENTIAL,2472.06484317,370972.60805,3.542761839e-06,0.007644256024121
2907,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3838.34033537,587513.507859,5.610357757e-06,0.011372455132993
2908,R7,RES MULTI-FAMILY,RESIDENTIAL,6195.08244869,1695258.22488,1.6187898502e-05,0.01998558059547
2909,R7,RES MULTI-FAMILY,RESIDENTIAL,3176.93267942,458886.63552,4.381704037e-06,0.009856930469317
2910,R5,RES SINGLE FAMILY,RESIDENTIAL,758.634759244,35878.26647,3.42579511e-07,0.002343963866002
2911,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2143.78225147,242625.709754,2.316673445e-06,0.006890887478738
2912,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2761.38526816,434337.870041,4.14721548e-06,0.008470766233161
2913,R6,RES MULTI-FAMILY,RESIDENTIAL,974.926647309,41348.550232,3.95055546e-07,0.003127088587108
2914,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,932.091188151,50814.4369297,4.8551001e-07,0.002925737552067
2915,R4,RES SINGLE FAMILY,RESIDENTIAL,644.957896031,24377.2270875,2.32908934e-07,0.001931862898097
2916,R1,RES SINGLE FAMILY,RESIDENTIAL,16269.1628073,8210916.35109,7.8444382841e-05,0.051897430827
2917,M2,INDUSTRIAL,INDUSTRIAL,10045.4072886,1019082.30658,9.736154529e-06,0.03000611458787
2918,R6,RES MULTI-FAMILY,RESIDENTIAL,13424.4023939,3405673.23264,3.2537156837e-05,0.04025112389285
2919,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2406.14970037,300850.567261,2.874349262e-06,0.007432344314365
2920,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,381.058966956,7866.83269844,7.5161397e-08,0.001135028922721
2921,R1,RES SINGLE FAMILY,RESIDENTIAL,7094.8070726,1202915.14766,1.1492750778e-05,0.022550402977815
2922,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3295.56730636,357418.20642,3.414764899e-06,0.009604958908255
2923,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1282.86153603,80414.7371313,7.6822583e-07,0.003814665105235
2924,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4324.37076969,475317.96023,4.540797263e-06,0.013403429282673
2925,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,620.726521146,20431.3257141,1.95185106e-07,0.001837007883763
2926,OR3,OFFICE/RES,OFFICE,2731.27057291,223130.310113,2.131592755e-06,0.007764598633835
2927,R7,RES MULTI-FAMILY,RESIDENTIAL,2141.82331462,165690.280111,1.582812284e-06,0.006737813985307
2928,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,856.128309321,31248.8506609,2.98517217e-07,0.00277558942053
2929,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,823.378568842,31085.2855125,2.969497e-07,0.002716703451112
2930,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,6969.99960796,961373.785731,9.18352067e-06,0.021992506815203
2931,R7,RES MULTI-FAMILY,RESIDENTIAL,3303.95605866,411468.742822,3.930503235e-06,0.010390829069798
2932,R7,RES MULTI-FAMILY,RESIDENTIAL,766.839218157,34580.6046953,3.30319116e-07,0.002451394926083
2933,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2225.89620484,187589.04681,1.791882989e-06,0.006898291219296
2934,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,5039.77270656,510265.636339,4.87396029e-06,0.015482535233019
2935,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,535.741958784,13037.3452656,1.24535087e-07,0.001697327549398
2936,OR,OFFICE/RESIDENTIAL,OFFICE,563.769340571,17820.4035727,1.70214904e-07,0.001819179174649
2937,R7,RES MULTI-FAMILY,RESIDENTIAL,2154.16692935,176906.36555,1.689645394e-06,0.006444833994243
2938,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,2113.04700607,172984.015955,1.652134293e-06,0.006613425487569
2939,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,1086.5825172,45887.69645,4.38299823e-07,0.003526100451776
2940,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1259.03510595,44733.5548094,4.27272636e-07,0.004083587232708
2941,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1196.92805683,62593.3687164,5.97932234e-07,0.003798677724793
2942,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,457.688528636,11240.0251594,1.07490356e-07,0.001463304271352
2943,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,716.38691042,31424.5325781,3.00388011e-07,0.002252749191245
2944,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,577.445645577,19262.9748422,1.84056742e-07,0.00181916335802
2945,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,825.02239935,41325.0942531,3.94807004e-07,0.002585047720551
2946,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1351.67910402,105010.19973,1.002695849e-06,0.004196730629711
2947,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1222.88276176,90527.0615102,8.65495382e-07,0.003911781372181
2948,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1388.45385609,107697.23034,1.030324859e-06,0.004261790838817
2949,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,704.861015317,28620.1480469,2.73546532e-07,0.002129696902342
2950,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,871.237817669,46873.0199,4.48231401e-07,0.002682267963267
2951,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,642.151012383,25682.2228297,2.45305113e-07,0.002020746884506
2952,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1011.72627896,32191.3915594,3.07660911e-07,0.003205906591669
2953,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2215.59523853,178149.5338,1.703650002e-06,0.006859985424763
2954,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,544.971608824,16833.5000781,1.61015408e-07,0.001650785642403
2955,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2064.06099999,218349.96007,2.084411519e-06,0.006659917255803
2956,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,993.780871794,55340.2219844,5.29202848e-07,0.003139399861364
2957,OR2,OFFICE/RES,OFFICE,574.954505756,14477.0944688,1.38441852e-07,0.001903411330406
2958,M2,INDUSTRIAL,INDUSTRIAL,1222.45097971,48327.6336219,4.62133479e-07,0.003585268763136
2959,R6,RES MULTI-FAMILY,RESIDENTIAL,561.850489738,19264.8539906,1.84221106e-07,0.001720212731816
2960,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2084.25384452,170925.57545,1.634496624e-06,0.006070152736998
2961,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,765.695168617,34945.7354156,3.34172016e-07,0.002328580796971
2962,R6,RES MULTI-FAMILY,RESIDENTIAL,562.655579131,11964.7041367,1.14414143e-07,0.00185130085473
2963,R7,RES MULTI-FAMILY,RESIDENTIAL,467.023555407,6417.77389688,6.1369643e-08,0.001335083109725
2964,R7,RES MULTI-FAMILY,RESIDENTIAL,551.802366542,11090.6695109,1.06054868e-07,0.001587195931658
2965,OR3,OFFICE/RES,OFFICE,798.143741519,39064.4248828,3.73554682e-07,0.002445472886408
2966,R6,RES MULTI-FAMILY,RESIDENTIAL,791.820314396,38817.9396094,3.7119792e-07,0.002438165724984
2967,R7,RES MULTI-FAMILY,RESIDENTIAL,676.076497918,27047.3582844,2.58641154e-07,0.002048455018946
2968,R5,RES SINGLE FAMILY,RESIDENTIAL,1758.41468618,139724.698275,1.336114298e-06,0.005816900034812
2969,R8A,RES MULTI-FAMILY,RESIDENTIAL,872.122344029,47092.0276969,4.50312738e-07,0.002746682576757
2970,R7,RES MULTI-FAMILY,RESIDENTIAL,2344.25720818,296070.75644,2.8311584e-06,0.007259234443616
2971,OR1,OFFICE/RES,OFFICE,1526.66846944,91161.0177352,8.71729079e-07,0.0049947656938
2972,R7,RES MULTI-FAMILY,RESIDENTIAL,1085.23980792,70688.9433219,6.7595811e-07,0.003332881452085
2973,R5,RES SINGLE FAMILY,RESIDENTIAL,1178.60450399,79803.7315422,7.63113578e-07,0.003805854073072
2974,R5,RES SINGLE FAMILY,RESIDENTIAL,1147.60312374,75160.0692266,7.18709468e-07,0.003698569001774
2975,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,712.126702172,30461.24837,2.91276956e-07,0.002164497405623
2976,R8A,RES MULTI-FAMILY,RESIDENTIAL,563.736219863,16354.2758617,1.56384263e-07,0.001784450027115
2977,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,438.108622348,9071.81044375,8.67467e-08,0.001441529879557
2978,OTF,OFFICE/TOURIST FACILITY,OFFICE,760.423581524,33492.4459281,3.20267944e-07,0.002409660388149
2979,OR2,OFFICE/RES,OFFICE,443.056916659,10565.1105133,1.01027758e-07,0.001414417016153
2980,OR2,OFFICE/RES,OFFICE,410.215664798,7671.56832813,7.3358152e-08,0.001246705995941
2981,R5B,RES TWO-FAMILY,RESIDENTIAL,822.350141889,24684.6631633,2.36041774e-07,0.002695900451847
2982,OR1,OFFICE/RES,OFFICE,421.343145889,7905.49229531,7.5594856e-08,0.001353694419554
2983,R5,RES SINGLE FAMILY,RESIDENTIAL,1111.39024523,61533.8310219,5.88404264e-07,0.003398743168167
2984,R6,RES MULTI-FAMILY,RESIDENTIAL,461.731115705,12694.6603031,1.21390069e-07,0.001472578585103
2985,OR2,OFFICE/RES,OFFICE,458.875264613,11610.0886055,1.11019189e-07,0.001460976463133
2986,OR2,OFFICE/RES,OFFICE,644.221154756,19723.46897,1.88601669e-07,0.002067050752326
2987,OR3,OFFICE/RES,OFFICE,1023.59743319,56690.6557703,5.42090677e-07,0.003147466604855
2988,R4,RES SINGLE FAMILY,RESIDENTIAL,2037.81959561,194102.015752,1.856046457e-06,0.006340150251447
2989,OR3,OFFICE/RES,OFFICE,675.935232601,23658.6599,2.26229723e-07,0.002162349055248
2990,R5,RES SINGLE FAMILY,RESIDENTIAL,540.414763884,15595.7670852,1.49130702e-07,0.001734212320093
2991,OR2,OFFICE/RES,OFFICE,517.550150132,10371.9042344,9.917827e-08,0.00167128661916
2992,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,516.478295173,10196.7894609,9.7503637e-08,0.00166805894387
2993,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,502.366647644,15273.6387203,1.4604738e-07,0.001559554378345
2994,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,648.713662837,25294.0166094,2.41860465e-07,0.002067418836762
2995,OR2,OFFICE/RES,OFFICE,664.640911391,25662.3483156,2.4538736e-07,0.002110349713601
2996,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,775.282589128,37356.3946609,3.57210796e-07,0.002438205865497
2997,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,400.000623103,8200.01212344,7.8506121e-08,0.001240630247932
2998,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,768.719014541,36772.0318781,3.51080858e-07,0.002375619853484
2999,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2347.50062141,258541.886564,2.472159497e-06,0.00715995628586
3000,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1533.7559946,93172.9939891,8.90278277e-07,0.005084050202068
1001,OR3,OFFICE/RES,OFFICE,739.86077103,13078.7337891,1.24859819e-07,0.00245272753934
1002,OR1,OFFICE/RES,OFFICE,386.964497599,6599.69040469,6.3002672e-08,0.001275779734417
1003,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,628.146907388,23527.9247672,2.24947496e-07,0.002005233306353
1004,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,584.562299814,19858.509,1.89764523e-07,0.001773524562805
1005,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,675.777190728,27734.4107922,2.64846328e-07,0.002129529960083
1006,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,775.447186366,34185.6065609,3.26998834e-07,0.002367931147887
1007,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1684.47484825,121685.622566,1.160405859e-06,0.005328945990111
1008,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,990.948175642,25817.1608906,2.46605333e-07,0.0031252296432
1009,OR,OFFICE/RESIDENTIAL,OFFICE,1793.20081467,194997.499547,1.865051163e-06,0.005418857123377
1010,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2110.97493542,205345.241081,1.962009481e-06,0.006696302296961
1011,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1602.26102418,141888.11008,1.355455422e-06,0.004938301342727
1012,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1407.37826001,73247.2684156,6.99880178e-07,0.004404486348433
1013,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,867.741166548,40487.1579672,3.87000484e-07,0.002780534829655
1014,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,841.720812936,39693.8910453,3.79345064e-07,0.002651902573458
1015,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,602.850827289,21193.2076141,2.02616774e-07,0.001933522439615
1016,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2803.45851123,258787.961303,2.473199869e-06,0.008807867131914
1017,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,728.417167649,25043.1391797,2.39290367e-07,0.002336445778378
1018,R5A,RES MULTI FAMILY,RESIDENTIAL,3495.48074739,433579.367722,4.14331684e-06,0.011309964346951
1019,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,184.378907689,1597.32361719,1.5266295e-08,0.00058970591417
1020,R6,RES MULTI-FAMILY,RESIDENTIAL,12509.0753258,3140890.10789,3.0013052941e-05,0.038655126739376
1021,R5,RES SINGLE FAMILY,RESIDENTIAL,2099.37454494,180832.59302,1.731612081e-06,0.006100430357493
1022,R5A,RES MULTI FAMILY,RESIDENTIAL,644.267324319,17583.6662328,1.6812059e-07,0.002074344201331
1023,R5A,RES MULTI FAMILY,RESIDENTIAL,3500.80429122,542864.513334,5.191505799e-06,0.010768460641904
1024,R5A,RES MULTI FAMILY,RESIDENTIAL,1108.76205315,69171.71584,6.61223014e-07,0.003427856664654
1025,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,350.130637218,7506.478325,7.1645218e-08,0.001107402528749
1026,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,817.07158429,41416.2287187,3.95254359e-07,0.002527796794205
1027,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1629.18025336,163364.310498,1.558841453e-06,0.005208059360384
1028,R6,RES MULTI-FAMILY,RESIDENTIAL,2785.84896893,221897.941285,2.124657515e-06,0.008227939167235
1029,OTF,OFFICE/TOURIST FACILITY,OFFICE,954.238177621,48543.7608438,4.63733049e-07,0.00284011785924
1030,OR1,OFFICE/RES,OFFICE,1091.26073752,56218.0842625,5.37056066e-07,0.003225557835851
1031,R7,RES MULTI-FAMILY,RESIDENTIAL,660.996517665,26733.9935891,2.5537526e-07,0.00201399581125
1032,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1615.29146886,128740.284931,1.229791355e-06,0.00509486351719
1033,R7,RES MULTI-FAMILY,RESIDENTIAL,1333.19249531,90901.8288086,8.68887395e-07,0.00436500342602
1034,OR,OFFICE/RESIDENTIAL,OFFICE,750.993772535,30248.9657766,2.88935664e-07,0.002234365090327
1035,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,1357.25090561,76406.9226062,7.29837073e-07,0.004059467271644
1036,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1322.4014745,79778.9572609,7.62796425e-07,0.003969037251829
